PositionX,PositionY,PositionZ,RotationX,RotationY,RotataionZ,Speed,SpeedX,SpeedY,SpeedZ
0.2061406,-1.020547,45.81611,43.69952,355.69,6.818818,12.86034,-2.208289,-2.131418,12.48875
0.161104,-1.062473,46.06537,43.69941,355.6901,6.819065,12.86031,-2.20833,-2.131272,12.48873
0.07102885,-1.146319,46.56389,43.6992,355.6904,6.819553,12.86026,-2.208405,-2.131023,12.48871
-0.06408826,-1.272074,47.31167,43.69888,355.6909,6.820292,12.86019,-2.208498,-2.130728,12.48868
-0.1091283,-1.313989,47.56093,43.69878,355.691,6.820536,12.86017,-2.208525,-2.130647,12.48867
-0.1541688,-1.355902,47.81019,43.69867,355.6912,6.820782,12.86016,-2.208551,-2.130573,12.48866
-0.2442512,-1.439726,48.3087,43.69845,355.6914,6.821271,12.86012,-2.208599,-2.130443,12.48864
-0.289293,-1.481637,48.55796,43.69835,355.6916,6.821516,12.86011,-2.208621,-2.130385,12.48863
-0.3793776,-1.565454,49.05647,43.69814,355.6919,6.822007,12.86008,-2.208662,-2.130282,12.48861
-0.4694637,-1.649269,49.55498,43.69793,355.6922,6.822497,12.86005,-2.208701,-2.130193,12.48859
-0.5595511,-1.73308,50.05349,43.69772,355.6925,6.822988,12.86003,-2.208736,-2.130115,12.48857
-0.6045952,-1.774985,50.30275,43.69761,355.6926,6.823233,12.86001,-2.208754,-2.13008,12.48856
-0.6946844,-1.858793,50.80126,43.6974,355.6929,6.823723,12.85999,-2.208787,-2.130014,12.48854
-0.8298204,-1.984501,51.54903,43.69708,355.6933,6.824458,12.85996,-2.208834,-2.129925,12.48852
-0.8748663,-2.026402,51.79829,43.69698,355.6935,6.824705,12.85995,-2.208849,-2.129898,12.48851
-0.9649589,-2.110203,52.2968,43.69675,355.6938,6.825195,12.85993,-2.208879,-2.129847,12.48849
-1.010006,-2.152103,52.54605,43.69666,355.6939,6.82544,12.85992,-2.208894,-2.129822,12.48848
-1.1001,-2.235902,53.04456,43.69645,355.6942,6.825933,12.8599,-2.208922,-2.129775,12.48846
-1.190195,-2.319699,53.54307,43.69624,355.6945,6.826422,12.85988,-2.208951,-2.12973,12.48845
-1.235243,-2.361597,53.79233,43.69613,355.6946,6.826666,12.85987,-2.208965,-2.129708,12.48844
-1.32534,-2.445392,54.29084,43.6959,355.6949,6.827157,12.85985,-2.208993,-2.129665,12.48842
-1.415438,-2.529185,54.78935,43.6957,355.6952,6.827647,12.85983,-2.209021,-2.129623,12.4884
-1.505537,-2.612977,55.28786,43.69548,355.6955,6.828137,12.85981,-2.209049,-2.129582,12.48839
-1.550586,-2.654872,55.53712,43.69539,355.6957,6.828382,12.85981,-2.209062,-2.129562,12.48838
-1.640687,-2.738661,56.03563,43.69517,355.696,6.828873,12.85979,-2.20909,-2.129522,12.48836
-1.730788,-2.822449,56.53415,43.69494,355.6963,6.829364,12.85977,-2.209117,-2.129482,12.48835
-1.82089,-2.906235,57.03266,43.69474,355.6965,6.829854,12.85975,-2.209144,-2.129443,12.48833
-1.865942,-2.948128,57.28191,43.69463,355.6967,6.8301,12.85974,-2.209157,-2.129423,12.48832
-1.956046,-3.031912,57.78043,43.69442,355.697,6.830594,12.85973,-2.209185,-2.12938,12.48831
-2.04615,-3.115694,58.27894,43.69422,355.6973,6.831087,12.85972,-2.209214,-2.129337,12.4883
-2.136256,-3.199475,58.77745,43.694,355.6976,6.831583,12.85971,-2.209244,-2.129291,12.4883
-2.181309,-3.241364,59.02671,43.6939,355.6977,6.831831,12.85971,-2.209259,-2.129268,12.4883
-2.226363,-3.283253,59.27596,43.69379,355.6978,6.832078,12.85971,-2.209274,-2.129244,12.4883
-2.316471,-3.36703,59.77448,43.69358,355.6982,6.832577,12.8597,-2.209304,-2.129196,12.48829
-2.361525,-3.408918,60.02373,43.69347,355.6983,6.832828,12.8597,-2.209319,-2.129172,12.48829
-2.49669,-3.534578,60.7715,43.69315,355.6987,6.833581,12.85969,-2.209365,-2.129097,12.48829
-2.580885,-3.63864,61.24148,27.4162,358.11,8.250448,12.52103,-2.104501,-2.571776,12.072
-2.621811,-3.690489,61.46638,24.06193,358.5081,8.423535,11.96949,-2.004629,-2.692898,11.48905
-2.70427,-3.786071,61.9112,23.8293,358.5349,8.434793,11.62984,-1.995792,-2.475422,11.18671
-2.788252,-3.869599,62.35404,23.8285,358.5351,8.435215,11.50207,-2.029163,-2.186576,11.10851
-2.831042,-3.906048,62.57597,23.82838,358.5351,8.435411,11.48084,-2.050506,-2.039128,11.11067
-2.918855,-3.965397,63.02422,23.82815,358.5352,8.43581,11.51625,-2.117999,-1.613713,11.2042
-3.009768,-4.005593,63.47976,23.82792,358.5353,8.436211,11.64412,-2.19446,-1.146119,11.37788
-3.056418,-4.017985,63.71055,23.82781,358.5354,8.436413,11.72705,-2.231746,-0.9129248,11.47648
-3.152419,-4.025077,64.17979,23.82758,358.5355,8.436812,11.93846,-2.319661,-0.339833,11.706
-3.251836,-4.008371,64.65918,23.82735,358.5356,8.437218,12.20308,-2.406058,0.2507683,11.96091
-3.302768,-3.990901,64.90252,23.82723,358.5356,8.437419,12.34189,-2.445348,0.5352725,12.08536
-3.407286,-3.936029,65.39757,23.82701,358.5357,8.437828,12.66035,-2.533393,1.193139,12.34678
-3.51495,-3.855634,65.90283,23.82678,358.5359,8.438235,13.00893,-2.614498,1.83573,12.61058
-3.569899,-3.805799,66.15899,23.82666,358.5359,8.438439,13.17665,-2.649357,2.134768,12.7298
-3.739645,-3.614716,66.94424,23.82632,358.5361,8.439058,13.79713,-2.772252,3.170619,13.13859
-3.855844,-3.456992,67.47818,23.82609,358.5362,8.439471,14.15469,-2.833006,3.781029,13.3429
-3.914768,-3.369232,67.74778,23.82598,358.5362,8.439681,14.31813,-2.857609,4.055948,13.43102
-4.034312,-3.175836,68.29292,23.82575,358.5363,8.440097,14.69556,-2.917403,4.676126,13.62285
-4.155723,-2.960364,68.84456,23.82551,358.5364,8.440516,15.04967,-2.966285,5.238246,13.79328
-4.217029,-2.844805,69.12238,23.8254,358.5365,8.440724,15.20726,-2.98491,5.486141,13.86554
-4.340605,-2.599513,69.68156,23.82517,358.5366,8.441146,15.52581,-3.024041,6.002493,13.99557
-4.464684,-2.339615,70.24242,23.82494,358.5367,8.441566,15.74158,-3.04136,6.394312,14.05917
-4.526728,-2.205364,70.52267,23.82483,358.5367,8.441776,15.80801,-3.043294,6.551355,14.06098
-4.712468,-1.78943,71.36094,23.82448,358.5369,8.442406,15.9152,-3.036249,6.911815,14.01077
-4.774202,-1.647237,71.63935,23.82436,358.5369,8.442616,15.9324,-3.031836,7.003835,13.98555
-4.835838,-1.503607,71.91723,23.82425,358.537,8.442826,15.94417,-3.027054,7.085041,13.95907
-5.020166,-1.065621,72.74778,23.82391,358.5371,8.443457,15.95947,-3.01243,7.277233,13.88062
-5.081428,-0.9176784,73.02368,23.82379,358.5372,8.443666,15.9606,-3.007831,7.327629,13.85639
-5.20371,-0.619472,73.57422,23.82357,358.5373,8.444088,15.95981,-2.999357,7.412644,13.81203
-5.325707,-0.3186939,74.12327,23.82334,358.5374,8.444509,15.95677,-2.991952,7.480509,13.77348
-5.447461,-0.0158539,74.67106,23.8231,358.5375,8.444928,15.95278,-2.985611,7.534884,13.74056
-5.508259,0.1362092,74.94454,23.82022,358.5087,8.443145,15.95067,-2.982818,7.557919,13.72606
-5.624623,0.4426811,75.49201,23.7894,358.1905,356.0189,15.94774,-3.00268,7.594014,13.69837
-5.673444,0.5974277,75.76691,23.75614,357.8473,357.3423,15.96519,-2.696263,7.653895,13.74901
-5.758591,0.909631,76.31857,23.64683,356.7278,359.7085,15.98439,-2.147099,7.748103,13.81512
-5.876112,1.383543,77.1473,23.36918,353.9445,2.682888,16.04538,-1.885299,7.870937,13.85454
-5.917599,1.542774,77.4228,23.24646,352.7397,3.432071,16.05335,-1.938947,7.903027,13.83808
-6.011866,1.862473,77.97029,22.95793,349.9613,6.351489,16.0552,-2.157685,7.966377,13.77137
-6.132417,2.182856,78.50901,22.62995,346.8838,8.09766,15.99598,-2.756602,7.993104,13.57876
-6.205156,2.343165,78.77383,22.46352,345.3506,9.784784,15.95115,-3.151592,7.996527,13.43734
-6.495229,2.818852,79.53649,21.99304,341.1026,13.0981,15.75333,-4.779301,7.920633,12.75105
-6.617272,2.975539,79.7786,21.85184,339.8489,13.05855,15.6899,-5.429605,7.866911,12.44203
-6.895146,3.287973,80.24566,21.59783,337.6145,12.99317,15.67032,-6.619556,7.816284,11.85943
-7.049461,3.444058,80.47073,21.48536,336.6328,12.96782,15.6908,-7.157261,7.808414,11.57598
-7.213046,3.600188,80.69022,21.3824,335.7378,12.94653,15.72142,-7.657367,7.807181,11.29494
-7.75251,4.069288,81.31591,21.12668,333.528,12.90151,15.83576,-8.943435,7.823331,10.46813
-7.946435,4.225955,81.51388,21.05744,332.9327,12.89125,15.87427,-9.305814,7.831434,10.20113
-8.562606,4.696857,82.07804,20.88987,331.4962,12.86979,15.97816,-10.21943,7.85596,9.44186
-8.777827,4.854099,82.25678,20.84553,331.1171,12.86493,16.00792,-10.47248,7.863401,9.205851
-9.220457,5.16893,82.60152,20.77107,330.4812,12.85756,16.05984,-10.91239,7.876581,8.763433
-9.447129,5.326497,82.76792,20.74002,330.2163,12.85479,16.08217,-11.10272,7.88228,8.557774
-9.909579,5.641881,83.08988,20.68825,329.7749,12.8506,16.12024,-11.43213,7.891968,8.178342
-10.38234,5.95754,83.39876,20.6479,329.4312,12.84774,16.15054,-11.7027,7.899614,7.841103
-10.84956,6.278627,83.70779,20.6166,329.1647,2.751085,16.13086,-11.76582,7.946844,7.656225
-11.07343,6.443738,83.86951,20.60373,329.0551,359.9418,16.10588,-11.47543,8.101482,7.879069
-11.49417,6.781696,84.21068,20.58251,328.8746,353.2628,15.99733,-10.72355,8.381117,8.406961
-11.87466,7.126951,84.57645,20.56617,328.7359,353.2622,15.78053,-9.682555,8.572905,9.043147
-12.05194,7.301888,84.76724,20.55948,328.6792,353.262,15.71397,-9.221905,8.655559,9.325597
-12.54081,7.833837,85.36495,20.54405,328.5485,353.2618,15.61372,-8.077687,8.851523,10.00949
-12.69149,8.012993,85.5711,20.54015,328.5155,353.2618,15.59695,-7.761803,8.899867,10.1888
-12.97756,8.373272,85.99149,20.53378,328.4616,353.2619,15.57411,-7.211319,8.975543,10.48758
-13.37494,8.917183,86.63788,20.52695,328.4041,353.2622,15.55306,-6.557049,9.049456,10.81712
-13.50043,9.099135,86.85664,20.52854,328.4178,353.2625,15.54786,-6.377382,9.066521,10.90244
-13.74273,9.463706,87.29806,20.56222,328.7046,353.2651,15.53907,-6.065776,9.092583,11.04509
-13.85997,9.64623,87.52051,20.60042,329.0299,353.268,15.53516,-5.929388,9.101944,11.10578
-14.08728,10.01149,87.96862,20.7268,330.1078,353.2789,15.52803,-5.681457,9.112869,11.2159
-14.30273,10.37634,88.42229,20.92142,331.7726,350.7509,15.52156,-5.427931,9.10967,11.33447
-14.49889,10.73886,88.88481,21.18017,333.9986,348.8334,15.49329,-4.98877,9.058224,11.53702
-14.58765,10.91872,89.12025,21.33118,335.3059,347.2839,15.47275,-4.700674,9.013221,11.66497
-14.80644,11.37014,89.79688,21.81763,339.5679,343.9011,13.97272,-3.575241,7.449329,11.26775
-14.86409,11.50135,90.01514,21.97465,340.9636,342.3049,13.4465,-3.195,6.947258,11.06056
-14.91489,11.61895,90.22941,22.12429,342.3044,341.192,13.05118,-2.825321,6.518645,10.94798
-14.98987,11.8203,90.64922,41.9948,341.7068,323.9478,11.97346,-2.150696,5.306295,10.51577
-15.00011,11.95024,91.08012,42.46249,343.8333,317.6559,11.33412,-0.7079644,3.66716,10.70108
-14.92863,11.99885,91.51966,42.66021,345.6729,313.8051,11.18433,1.287286,1.642641,10.9879
-14.77535,11.9689,91.95474,42.82149,347.1996,311.873,11.46723,3.372749,-0.3646994,10.95394
-14.55251,11.87164,92.37494,42.95161,348.4472,311.9243,12.02821,5.215908,-2.139249,10.62524
-14.2772,11.72285,92.77513,43.05549,349.4542,311.9875,12.62069,6.629025,-3.524906,10.1446
-14.12449,11.6336,92.96716,43.09904,349.8795,312.015,12.87674,7.186204,-4.07443,9.877651
-13.79611,11.43242,93.33559,43.172,350.5964,312.0624,13.294,8.063156,-4.941094,9.343532
-13.44426,11.20816,93.6849,43.2292,351.1625,312.1008,13.59929,8.696898,-5.565483,8.850429
-13.07532,10.96732,94.01774,43.27376,351.6066,312.1315,13.81842,9.157319,-6.014373,8.421375
-12.69383,10.71452,94.33682,43.30834,351.953,312.156,13.97483,9.494762,-6.337668,8.06097
-12.49943,10.58472,94.492,43.32257,352.0961,312.1662,14.03534,9.628839,-6.463899,7.905326
-12.30304,10.45308,94.64465,43.33506,352.222,312.1753,14.0865,9.744455,-6.571323,7.764841
-11.70432,10.04969,95.08994,43.36401,352.5155,312.1967,14.19791,10.00637,-6.80739,7.423777
-11.09518,9.637392,95.52058,43.3834,352.7135,312.2115,14.26676,10.17899,-6.954649,7.180626
