PositionX PositionY PositionZ RotationX RotationY RotataionZ Speed SpeedX SpeedY SpeedZ RMP
4.956978 -9.463503 82.03098 44.22412 354.1725 350.9466 12.88255 0.3793069 -2.276804 12.67408 0
4.990636 -9.685121 83.29559 44.22354 354.1735 350.9481 12.88252 0.3792659 -2.276653 12.67408 0
5.03775 -9.995364 85.06604 44.22272 354.1748 350.9501 12.88247 0.3792085 -2.27644 12.67407 0
5.078127 -10.26127 86.58357 44.22199 354.176 350.9519 12.88243 0.3791593 -2.276258 12.67407 0
5.125229 -10.57146 88.35403 44.22117 354.1774 350.9539 12.88239 0.3791021 -2.276046 12.67406 0
5.165596 -10.83731 89.87156 44.22047 354.1786 350.9557 12.88235 0.379053 -2.275866 12.67406 0
5.199231 -11.05884 91.13617 44.21988 354.1796 350.9572 12.88232 0.3790121 -2.275714 12.67405 0
5.253041 -11.41326 93.1596 44.21894 354.1812 350.9595 12.88227 0.3789465 -2.275473 12.67405 0
5.376694 -12.09489 94.31558 44.21822 354.1823 350.9613 12.61112 1.426426 -7.562243 9.990903 0
5.453602 -12.82176 95.57937 31.14335 355.9927 1.938978 12.40983 0.1660491 -5.447705 11.14894 0
