PositionX PositionY PositionZ RotationX RotationY RotataionZ SpeedX SpeedY SpeedZ RMP
-3.49246E-10 -0.011772 0 0 0 0 0 0 0 0
-3.143214E-09 -2.835549 0 0 0 0 0 -8.047277 0 878.9144
0.2449322 -3.087616 0.2161191 0 0 0 2.449285 -1.055481 2.161159 1826.766
0.6329931 -3.252926 0.5585297 0 0 0 2.417297 -0.5711215 2.132933 2746.901
0.9225851 -3.132334 0.814055 0 0 0 2.411495 1.68207 2.127813 3594.242
1.200709 -2.626493 1.059461 0 0 0 2.266393 5.120979 1.99978 4287.206
1.395505 -1.897084 1.231342 0 0 0 1.852065 7.807913 1.634193 5027.62
1.555072 -0.7861665 1.372137 0 0 0 1.154481 9.585385 1.018672 5766.723
1.653296 0.6577233 1.458806 0 0 0 0.5479316 10.50959 0.4834744 6396.667
1.692792 1.930281 1.493657 0 0 0 0.2699073 10.617 0.2381562 6396.667
1.712139 3.205079 1.510728 0 0 0 0.1320859 10.62413 0.1165477 6396.667
1.722622 4.692517 1.519977 0 0 0 0.05735222 10.62461 0.05060545 6396.667
1.726233 5.754979 1.523163 1.813436E-08 -3.699824E-08 2.349045E-05 0.03160464 10.62462 0.02788675 6396.667
1.728499 7.028747 1.571725 8.138853 1.161188E-05 0.0001655211 0.01548744 10.60611 0.687403 6396.667
1.729621 8.289541 1.837601 15.34474 4.244365E-05 0.000312713 0.007719307 10.46302 2.82133 6396.667
1.730263 9.708814 2.630732 19.99997 7.28181E-05 0.0004863726 0.003634854 10.00335 6.858237 6396.667
1.730403 10.55062 3.4084 20.00001 359.324 0.0005416053 0.001001959 7.725904 7.699267 1124.555
1.71093 11.34918 4.703205 40.00007 353.0002 0.000658126 -0.2638763 4.83743 10.60071 0
1.599731 11.68303 6.142509 40.00015 342.9821 0.0006347219 -1.193528 2.158665 12.23093 0
1.320601 11.78855 7.608088 40.00025 330.4569 0.0005739812 -2.745357 0.5242491 12.15077 0
0.701246 11.75786 9.229466 40.00036 314.2423 0.0004647582 -5.133919 -0.4551695 11.28924 0
-0.1144608 11.66306 10.46451 40.00043 299.7057 0.0003299007 -7.351824 -0.8828228 9.91588 0
-1.383165 11.5117 11.62239 40.0005 282.4308 0.000144889 -9.708229 -1.144913 7.543556 0
-2.460354 11.38873 12.2067 40.0005 269.9992 6.687184E-06 -11.01871 -1.248254 5.401147 0
-4.363044 11.17837 12.64079 40.00048 250.0441 -0.0002184479 -12.16392 -1.338356 1.443884 0
-5.583354 11.04208 12.57559 40.00043 237.5547 -0.0003544202 -12.185 -1.368333 -1.177848 0
-6.986395 10.87587 12.15576 40.00035 222.5605 -0.0004848196 -11.47064 -1.389827 -4.260927 0
-8.420435 10.67985 11.23111 40.00021 205.0631 -0.0006007294 -9.667006 -1.403469 -7.496655 0
-9.241058 10.53905 10.32714 40.00011 192.5639 -0.0006453095 -7.819712 -1.40894 -9.405969 0
-9.939594 10.36962 9.040895 39.99998 177.5643 -0.0006618868 -5.122605 -1.412847 -11.10667 0
-10.30209 10.17156 7.374066 39.99984 160.0645 -0.0006241308 -1.548262 -1.415301 -12.13217 0
-10.24409 10.02995 6.15473 39.99973 147.5646 -0.0005628315 1.113314 -1.416272 -12.17959 0
-9.829139 9.859931 4.751223 39.99964 132.5647 -0.0004480355 4.22702 -1.416955 -11.47654 0
-8.907185 9.661512 3.31614 39.99954 115.0648 -0.0002786286 7.482088 -1.417374 -9.674455 0
-7.803182 9.491405 2.355337 39.9995 100.0649 -0.0001181385 9.730949 -1.41756 -7.408407 0
-6.254574 9.292927 1.640329 39.9995 82.565 8.693209E-05 11.50827 -1.417673 -4.13945 0
-4.807237 9.122795 1.42316 39.99953 67.56512 0.0002563384 12.18749 -1.417725 -1.019873 0
-3.353008 8.95266 1.587986 39.9996 52.56522 0.0004034547 12.03618 -1.417758 2.169225 0
-2.207528 8.810881 2.009815 39.99967 40.06528 0.0005048762 11.28137 -1.417779 4.722914 0
-0.9937196 8.640746 2.827507 39.99978 25.06533 0.0005984965 9.674581 -1.417803 7.481829 0
-0.3206155 8.52732 3.535982 39.99988 15.06536 0.0006391773 8.228392 -1.417819 9.048145 0
0.4338945 8.357181 4.790043 40 0.06538143 0.0006611381 5.606171 -1.417843 10.86952 0
0.7965552 8.215394 5.95561 40.00011 347.5654 0.0006447522 3.120674 -1.417864 11.82527 0
0.8645084 8.016891 7.659961 40.00026 330.0653 0.000569523 -0.5797101 -1.417893 12.21638 0
0.5957944 7.8751 8.850703 40.00034 317.5652 0.0004881632 -3.210092 -1.417914 11.80133 0
-0.05648029 7.704948 10.16086 40.00043 302.5652 0.0003633365 -6.155136 -1.417936 10.56838 0
-0.8446584 7.563154 11.09298 40.00048 290.0651 0.000222906 -8.296659 -1.417953 8.985649 0
-2.027794 7.393007 11.95
